,Time_norm,Time,Light,Light_norm,Growth_norm,Growth,DCW,DCW_norm,Growth rate,R0,R1,R2,R3,R4,is_train
271,-0.17213,27.1,574,0.95517392,0.20584530899999998,2.1613757430000002,0.84293654,-0.571749274,0.06895378,3.246758055373861,3.502038640505807,2.7245707878240735,3.021272721444234,2.0295614641758566,True
272,-0.16806,27.2,574,0.95517392,0.20753364100000002,2.179103233,0.8498502609999999,-0.563973411,0.069320459,3.2486306050193745,3.502605998006584,2.7155725295217685,3.011921663922168,2.0153861089521854,True
273,-0.16399,27.3,574,0.95517392,0.209230923,2.196924696,0.856800632,-0.55615633,0.06968675,3.250342471639761,3.503041788176666,2.7062908224652844,3.0022900952615474,2.0009466106816687,True
274,-0.15992,27.4,574,0.95517392,0.21093714600000002,2.2148400280000002,0.8637876109999999,-0.548298074,0.070052615,3.251895662919458,3.5033464090653488,2.6967277216695953,2.992379355602392,1.98624478084529,True
275,-0.15585,27.5,574,0.95517392,0.212652297,2.232849114,0.870811155,-0.540398694,0.070418014,3.2532923908842464,3.5035203266712176,2.68688551121691,2.98219100122266,1.9712826266621712,True
276,-0.15178,27.6,574,0.95517392,0.214376365,2.25095183,0.877871214,-0.532458246,0.07078290799999999,3.2545350726199356,3.5035640753451696,2.676766702951631,2.9717268041301867,1.956062347463238,True
277,-0.14770999999999998,27.7,574,0.95517392,0.21610933699999998,2.269148042,0.8849677359999999,-0.524476787,0.07114725599999999,3.255626330283193,3.5034782577863086,2.666374033078532,2.960988749567752,1.9405863284835254,True
278,-0.14364000000000002,27.8,574,0.95517392,0.21785120000000002,2.2874376030000003,0.892100665,-0.516454382,0.07151101900000001,3.2565689889922442,3.5032635449438367,2.655710472593624,2.9499790478921564,1.9248571556030385,True
279,-0.13957,27.9,574,0.95517392,0.219601939,2.305820359,0.89926994,-0.508391099,0.07187415400000001,3.257366076109023,3.5029206758951936,2.6447792221521365,2.9387001304039,1.9088776068598188,True
280,-0.1355,28.0,574,0.95517392,0.221361537,2.324296143,0.906475496,-0.50028701,0.072236622,3.258020819023881,3.502450457548364,2.633583714197341,2.9271546527559544,1.8926506551664413,True
281,-0.13143,28.1,574,0.95517392,0.22312997899999998,2.34286478,0.9137172640000001,-0.49214219299999995,0.07259838099999999,3.258536642487985,3.501853764429,2.622127616388859,2.9153454997266004,1.8761794729481898,True
282,-0.12736,28.2,574,0.95517392,0.224907246,2.3615260819999997,0.920995172,-0.48395673,0.072959388,3.258917165773445,3.5011315381664265,2.6104148291910807,2.903275784067982,1.8594674285617163,True
283,-0.12329000000000001,28.3,574,0.95517392,0.22669331899999998,2.380279851,0.928309142,-0.47573070799999995,0.073319603,3.2591661990235705,3.5002847870347704,2.5984494872996002,2.8909488492999142,1.8425180884319872,True
284,-0.11922,28.4,574,0.95517392,0.22848817899999999,2.399125879,0.9356590929999999,-0.467464218,0.073678983,3.2592877391635007,3.4993145852317746,2.5862359578624172,2.8783682692793175,1.825335214863909,True
285,-0.11515,28.5,574,0.95517392,0.230291804,2.418063945,0.9430449390000001,-0.45915735799999996,0.074037486,3.259285965190203,3.4982220725283737,2.5737788442432974,2.865537853539555,1.8079227718964126,True
286,-0.11108,28.6,574,0.95517392,0.232104173,2.43709382,0.95046659,-0.45081022600000004,0.074395068,3.259165232937626,3.4970084525438834,2.5610829745824617,2.852461636924651,1.7902849099727245,True
287,-0.10701,28.7,574,0.95517392,0.233925263,2.4562152619999997,0.957923952,-0.442422931,0.074751686,3.2589300693106518,3.4956749933268183,2.5481534169415267,2.839143896746395,1.7724259881073288,True
288,-0.10294,28.8,574,0.95517392,0.235755049,2.475428018,0.965416927,-0.43399558200000005,0.075107298,3.2585851657780367,3.4942230247909305,2.534995460957707,2.8255891353651754,1.7543505494656664,True
289,-0.09887,28.9,574,0.95517392,0.23759350699999998,2.494731825,0.9729454120000001,-0.425528295,0.07546186,3.258135371497435,3.4926539386192856,2.521614626351682,2.811802090531798,1.7360633346334033,True
290,-0.0948,29.0,574,0.95517392,0.23944061,2.514126408,0.9805092990000001,-0.417021191,0.075815328,3.2575856857404326,3.490969186779655,2.5080166574354896,2.7977877312779222,1.7175692755930299,False
291,-0.09072999999999999,29.1,574,0.95517392,0.241296331,2.533611481,0.988108477,-0.408474395,0.076167657,3.2569412496655237,3.4891702799949713,2.494207518617883,2.78355125484739,1.6988734914134154,False
292,-0.08666,29.2,574,0.95517392,0.24316064199999998,2.553186745,0.9957428309999999,-0.39988803799999995,0.076518805,3.256207337716624,3.4872587867261995,2.4801933943307564,2.769098088192,1.6799812901783389,False
293,-0.08259,29.3,574,0.95517392,0.24503351399999998,2.572851893,1.003412238,-0.39126225600000003,0.076868725,3.255389348261808,3.4852363314749013,2.465980683763239,2.7544338841319935,1.6608981641038232,False
294,-0.07852,29.4,574,0.95517392,0.246914915,2.592606604,1.011116576,-0.382597187,0.077217374,3.2544927933807446,3.4831045924105273,2.4515759917999924,2.7395645135330358,1.64162977981031,True
295,-0.07445,29.5,574,0.95517392,0.24880481399999999,2.612450547,1.018855713,-0.37389297899999996,0.077564707,3.2535232892155013,3.4808653015852222,2.4369861377827764,2.724496075899941,1.6221819927317183,True
296,-0.07038,29.6,574,0.95517392,0.250703179,2.632383377,1.026629517,-0.36514978200000003,0.07791067900000001,3.2524865441745376,3.4785202412068825,2.422218137358204,2.709234882186108,1.6025608257199824,True
297,-0.06631000000000001,29.7,574,0.95517392,0.252609975,2.652404741,1.0344378490000001,-0.356367751,0.078255244,3.2513883476550696,3.476071242409572,2.40727920214365,2.693787455872336,1.5827724716948948,True
298,-0.06224,29.8,574,0.95517392,0.254525169,2.672514272,1.0422805659999999,-0.34754704700000005,0.078598358,3.2502345580995597,3.4735201835396285,2.3921767356679657,2.678160530278767,1.5628232916285907,True
299,-0.058170000000000006,29.9,574,0.95517392,0.256448723,2.692711591,1.050157521,-0.33868783700000005,0.07893997400000001,3.249031090433567,3.4708689881002877,2.3769183273307393,2.662361043678478,1.5427198099900656,True
300,-0.0541,30.0,574,0.95517392,0.258380601,2.71299631,1.058068561,-0.32979029,0.079280047,3.2477839024347306,3.4681196213459824,2.3615117389043165,2.6463961267158957,1.5224687007529571,True
301,-0.05003,30.1,574,0.95517392,0.260320764,2.7333680260000004,1.06601353,-0.320854583,0.079618532,3.2464989820008716,3.465274089789948,2.3459649079237597,2.6302731071814205,1.5020767957985988,False
302,-0.04596,30.2,574,0.95517392,0.262269174,2.7538263260000004,1.073992267,-0.311880897,0.079955382,3.2451823326229774,3.4623344376415366,2.3302859334315347,2.613999496465611,1.4815510703301809,True
303,-0.04189,30.3,574,0.95517392,0.264225789,2.7743707860000004,1.082004606,-0.302869419,0.080290551,3.243839959268838,3.4593027449819855,2.3144830716581852,2.5975829862390665,1.4608986416184013,False
304,-0.03782,30.4,574,0.95517392,0.266190568,2.795000968,1.090050377,-0.29382034100000004,0.080623994,3.2424778534588077,3.4561811249171357,2.2985647261020867,2.5810314392278637,1.4401267606141674,True
305,-0.03375,30.5,574,0.95517392,0.268163469,2.815716423,1.098129405,-0.284733858,0.080955663,3.241101977829717,3.4529717202422026,2.282539435415476,2.5643528775957924,1.4192428009477451,True
306,-0.02968,30.6,574,0.95517392,0.270144447,2.836516692,1.10624151,-0.275610174,0.081285514,3.23971825160375,3.4496767028604634,2.2664158750117043,2.547555485507946,1.3982542660367232,True
307,-0.02561,30.7,574,0.95517392,0.27213345699999997,2.857401302,1.114386508,-0.266449495,0.081613499,3.2383325338190323,3.44629826856623,2.250202835389392,2.5306475873466923,1.377168766049251,True
308,-0.02154,30.8,574,0.95517392,0.27413045399999997,2.878369769,1.12256421,-0.257252033,0.081939572,3.2369506079962354,3.442838635621009,2.233909219443543,2.5136376455936458,1.3559940198745724,True
309,-0.01747,30.9,574,0.95517392,0.27613539,2.8994215960000003,1.130774422,-0.24801800699999998,0.082263687,3.2355781661598817,3.4393000422850637,2.217544034183721,2.4965342527500027,1.3347378499518436,True
310,-0.0134,31.0,574,0.95517392,0.278148217,2.920556275,1.139016947,-0.23874763899999998,0.082585797,3.234220791975673,3.4356847423631303,2.201116373206556,2.479346113484045,1.3134081653313132,True
311,-0.00933,31.1,574,0.95517392,0.280168884,2.9417732869999997,1.147291582,-0.229441158,0.082905856,3.232883944994124,3.431995003733267,2.184635412988282,2.4620820410937734,1.292012962912399,True
312,-0.00526,31.2,574,0.95517392,0.282197343,2.9630720989999997,1.155598119,-0.220098796,0.083223818,3.2315729436843577,3.428233103736863,2.168110394723059,2.44475093867026,1.2705603100494431,True
313,-0.00119,31.3,574,0.95517392,0.28423354,2.9844521680000002,1.163936345,-0.210720792,0.083539635,3.2302929496478496,3.424401327672314,2.1515506200040972,2.427361794625248,1.2490583453400517,False
314,0.00288,31.4,574,0.95517392,0.28627742300000003,3.0059129369999997,1.1723060459999999,-0.20130739,0.083853262,3.2290489510355354,3.4205019648904136,2.1349654355349577,2.409923666629033,1.2275152654082735,True
315,0.00695,31.5,574,0.95517392,0.288328937,3.0274538410000003,1.180706998,-0.19185884,0.08416465199999999,3.2278457465251367,3.416537306053569,2.118364222939383,2.392445670661458,1.205939318384773,True
316,0.01102,31.6,574,0.95517392,0.290388028,3.0490742969999998,1.189138976,-0.182375394,0.08447375900000001,3.2266879288665296,3.41250963826581,2.1017563794774485,2.374936960392231,1.184338785804407,True
317,0.015090000000000001,31.7,574,0.95517392,0.29245464,3.070773717,1.19760175,-0.17285731199999999,0.08478053599999999,3.225579869959194,3.4084212443851025,2.085151316106714,2.357406724650394,1.162721987177299,True
318,0.01916,31.8,574,0.95517392,0.29452871399999997,3.092551495,1.206095083,-0.16330486,0.085084937,3.2245257051906138,3.404274399002368,2.068558441225881,2.339864169669881,1.1410972660947885,True
319,0.02323,31.9,574,0.95517392,0.296610192,3.114407018,1.2146187370000001,-0.153718306,0.08538691699999999,3.22352931802722,3.400071363473207,2.0519871408269825,2.322318497355764,1.119472971773546,False
320,0.0273,32.0,574,0.95517392,0.298699015,3.1363396580000003,1.223172467,-0.144097927,0.08568642900000001,3.2225943262564964,3.39581438573941,2.0354467775523526,2.304778903388923,1.0978574653638378,True
321,0.03137,32.1,574,0.95517392,0.30079512199999997,3.1583487760000004,1.231756023,-0.134444001,0.08598342699999999,3.221724067169336,3.3915056935994063,2.0189466636242415,2.287254547537993,1.0762590922969206,True
322,0.03544,32.2,574,0.95517392,0.30289845,3.180433723,1.240369152,-0.124756815,0.086277865,3.220921584943036,3.3871474950396703,2.0024960612500333,2.269754552903273,1.0546861905707163,True
323,0.03951,32.3,574,0.95517392,0.305008937,3.202593836,1.249011596,-0.11503665800000001,0.086569699,3.220189617263676,3.3827419719299074,1.9861041571653024,2.2522879775960285,1.0331470653225385,True
324,0.04358,32.4,574,0.95517392,0.307126518,3.22482844,1.257683092,-0.105283827,0.086858881,3.2195305838238175,3.3782912795588316,1.9697800592528572,2.2348638097513476,1.011649992403491,False
325,0.04765,32.5,574,0.95517392,0.30925112899999996,3.2471368519999997,1.266383372,-0.09549862099999999,0.087145368,3.2189465746736037,3.373797540784004,1.953532772841893,2.217490940735777,0.9902031952810044,True
326,0.05172,32.6,574,0.95517392,0.311382702,3.269518373,1.275112165,-0.085681348,0.087429114,3.2184393403437563,3.3692628461433594,1.9373711987689346,2.200178161453914,0.9688148506286578,False
327,0.05579,32.7,574,0.95517392,0.313521171,3.291972295,1.283869195,-0.075832316,0.087710074,3.2180102819341707,3.364689246673179,1.9213041048144979,2.1829341301172698,0.947493058848556,False
328,0.059860000000000003,32.8,574,0.95517392,0.31566646600000003,3.314497898,1.29265418,-0.06595184400000001,0.087988203,3.2176604432671723,3.3600787560042216,1.9053401301992638,2.165767375246864,0.9262458582501731,True
329,0.06393,32.9,574,0.95517392,0.31781851899999997,3.33709445,1.301466835,-0.05604025,0.08826345599999999,3.217390503035281,3.3554333418638436,1.8894877524787204,2.1486862582724218,0.9050811893853496,True
330,0.068,33.0,574,0.95517392,0.319977258,3.3597612089999997,1.3103068709999999,-0.046097862,0.088535791,3.217200769006179,3.3507549283419578,1.8737552918964513,2.1316989762901937,0.8840069091250473,True
331,0.07207000000000001,33.1,574,0.95517392,0.322142611,3.382497419,1.319173994,-0.036125009,0.088805161,3.217091172737682,3.3460453888948636,1.8581508836119858,2.1148135301918742,0.8630307618942015,True
332,0.07614,33.2,574,0.95517392,0.324314506,3.405302317,1.328067904,-0.026122028999999998,0.089071525,3.2170612659524878,3.341306547405019,1.8426824772105663,2.0980377221023385,0.8421603872316992,True
333,0.08021,33.3,574,0.95517392,0.32649286899999996,3.428175125,1.3369882990000002,-0.016089261,0.08933483800000001,3.217110217964839,3.3365401717902543,1.8273578111530606,2.0813791257601157,0.8214032937113029,True
334,0.08428,33.4,574,0.95517392,0.328677624,3.451115055,1.3459348709999999,-0.00602705,0.08959505699999999,3.2172368146135835,3.331747973842203,1.8121844078823133,2.0648450791508197,0.8007668604091278,True
335,0.08835,33.5,574,0.95517392,0.330868696,3.474121308,1.35490731,0.004064252,0.08985214,3.217439458444641,3.3269316072949926,1.7971695626502078,2.0484426704175274,0.7802583299257448,True
336,0.09242,33.6,574,0.95517392,0.333066007,3.497193075,1.363905299,0.01418429,0.09010604300000001,3.217716170437096,3.322092663609994,1.7823203252210578,2.032178715964253,0.7598847914647082,True
337,0.09648999999999999,33.7,574,0.95517392,0.33526948,3.520329535,1.372928519,0.024332705,0.090356725,3.218064593177348,3.3172326702517516,1.7676434895221151,2.0160597472493134,0.7396531745081796,False
338,0.10056,33.8,574,0.95517392,0.337479034,3.543529857,1.381976644,0.034509132000000005,0.090604144,3.218481995437126,3.3123530895703825,1.7531455849764763,2.0000919994423216,0.7195702445850345,True
339,0.10463,33.9,574,0.95517392,0.33969459,3.5667931989999997,1.3910493480000001,0.044713200999999994,0.090848258,3.2189652783422225,3.3074553163755454,1.7388328636851258,1.9842813956904188,0.6996425932235397,True
340,0.1087,34.0,574,0.95517392,0.34191606700000005,3.590118707,1.400146296,0.054944539,0.09108902699999999,3.219510983176888,3.3025406751596385,1.724711286832797,1.968633530493514,0.6798766263759048,False
